Time(s),CH1(V),CH4(V)
-5.6000E-08,-1.114414E-01,2.141200E-04
-5.5800E-08,-7.429424E-02,0.000000E+00
-5.5600E-08,-7.429424E-02,2.141200E-04
-5.5400E-08,-7.429424E-02,2.141200E-04
-5.5200E-08,-7.429424E-02,0.000000E+00
-5.5000E-08,-1.114414E-01,-2.141200E-04
-5.4800E-08,-1.114414E-01,-2.141200E-04
-5.4600E-08,-7.429424E-02,0.000000E+00
-5.4400E-08,-1.114414E-01,2.141200E-04
-5.4200E-08,-7.429424E-02,0.000000E+00
-5.4000E-08,-7.429424E-02,0.000000E+00
-5.3800E-08,-7.429424E-02,0.000000E+00
-5.3600E-08,-7.429424E-02,-2.141200E-04
-5.3400E-08,-1.114414E-01,0.000000E+00
-5.3200E-08,-1.114414E-01,2.141200E-04
-5.3000E-08,-1.114414E-01,0.000000E+00
-5.2800E-08,-1.114414E-01,0.000000E+00
-5.2600E-08,-1.114414E-01,0.000000E+00
-5.2400E-08,-1.114414E-01,0.000000E+00
-5.2200E-08,-1.114414E-01,0.000000E+00
-5.2000E-08,-1.114414E-01,-2.141200E-04
-5.1800E-08,-1.114414E-01,-2.141200E-04
-5.1600E-08,-7.429424E-02,2.141200E-04
-5.1400E-08,-7.429424E-02,4.282400E-04
-5.1200E-08,-7.429424E-02,0.000000E+00
-5.1000E-08,-7.429424E-02,2.141200E-04
-5.0800E-08,-7.429424E-02,0.000000E+00
-5.0600E-08,-7.429424E-02,-2.141200E-04
-5.0400E-08,-7.429424E-02,2.141200E-04
-5.0200E-08,-7.429424E-02,2.141200E-04
-5.0000E-08,-1.114414E-01,0.000000E+00
-4.9800E-08,-1.114414E-01,0.000000E+00
-4.9600E-08,-7.429424E-02,0.000000E+00
-4.9400E-08,-7.429424E-02,0.000000E+00
-4.9200E-08,-7.429424E-02,2.141200E-04
-4.9000E-08,-7.429424E-02,4.282400E-04
-4.8800E-08,-1.114414E-01,2.141200E-04
-4.8600E-08,-1.114414E-01,2.141200E-04
-4.8400E-08,-1.114414E-01,0.000000E+00
-4.8200E-08,-7.429424E-02,0.000000E+00
-4.8000E-08,-7.429424E-02,0.000000E+00
-4.7800E-08,-7.429424E-02,-2.141200E-04
-4.7600E-08,-7.429424E-02,0.000000E+00
-4.7400E-08,-7.429424E-02,2.141200E-04
-4.7200E-08,-7.429424E-02,0.000000E+00
-4.7000E-08,-1.114414E-01,-4.282400E-04
-4.6800E-08,-1.114414E-01,0.000000E+00
