Time(s),CH1(V),CH2(V)
-8.0370E-07,7.523524E-02,2.122000E-04
-8.0330E-07,7.523524E-02,2.122000E-04
-8.0290E-07,7.523524E-02,2.122000E-04
-8.0250E-07,7.523524E-02,2.122000E-04
-8.0210E-07,7.523524E-02,2.122000E-04
-8.0170E-07,7.523524E-02,2.122000E-04
-8.0130E-07,7.523524E-02,2.122000E-04
-8.0090E-07,7.523524E-02,2.122000E-04
-8.0050E-07,0.000000E+00,2.122000E-04
-8.0010E-07,7.523524E-02,2.122000E-04
-7.9970E-07,7.523524E-02,2.122000E-04
-7.9930E-07,7.523524E-02,2.122000E-04
-7.9890E-07,7.523524E-02,2.122000E-04
-7.9850E-07,7.523524E-02,2.122000E-04
-7.9810E-07,7.523524E-02,2.122000E-04
-7.9770E-07,7.523524E-02,2.122000E-04
-7.9730E-07,7.523524E-02,2.122000E-04
-7.9690E-07,7.523524E-02,2.122000E-04
-7.9650E-07,7.523524E-02,2.122000E-04
-7.9610E-07,7.523524E-02,2.122000E-04
-7.9570E-07,7.523524E-02,2.122000E-04
-7.9530E-07,7.523524E-02,2.122000E-04
-7.9490E-07,0.000000E+00,2.122000E-04
-7.9450E-07,0.000000E+00,2.122000E-04
-7.9410E-07,7.523524E-02,2.122000E-04
-7.9370E-07,7.523524E-02,2.122000E-04
-7.9330E-07,7.523524E-02,0.000000E+00
-7.9290E-07,0.000000E+00,2.122000E-04
-7.9250E-07,7.523524E-02,2.122000E-04
-7.9210E-07,7.523524E-02,4.244000E-04
-7.9170E-07,7.523524E-02,2.122000E-04
-7.9130E-07,7.523524E-02,2.122000E-04
-7.9090E-07,7.523524E-02,2.122000E-04
-7.9050E-07,7.523524E-02,2.122000E-04
-7.9010E-07,7.523524E-02,2.122000E-04
-7.8970E-07,0.000000E+00,2.122000E-04
-7.8930E-07,7.523524E-02,2.122000E-04
-7.8890E-07,7.523524E-02,2.122000E-04
-7.8850E-07,7.523524E-02,2.122000E-04
-7.8810E-07,7.523524E-02,2.122000E-04
-7.8770E-07,7.523524E-02,2.122000E-04
-7.8730E-07,7.523524E-02,2.122000E-04
-7.8690E-07,7.523524E-02,2.122000E-04
-7.8650E-07,7.523524E-02,2.122000E-04
-7.8610E-07,7.523524E-02,0.000000E+00
-7.8570E-07,7.523524E-02,2.122000E-04
-7.8530E-07,7.523524E-02,2.122000E-04
-7.8490E-07,7.523524E-02,0.000000E+00
-7.8450E-07,7.523524E-02,2.122000E-04
-7.8410E-07,7.523524E-02,2.122000E-04
-7.8370E-07,7.523524E-02,2.122000E-04
-7.8330E-07,7.523524E-02,2.122000E-04
-7.8290E-07,7.523524E-02,2.122000E-04
-7.8250E-07,7.523524E-02,2.122000E-04
-7.8210E-07,7.523524E-02,2.122000E-04
-7.8170E-07,7.523524E-02,2.122000E-04
-7.8130E-07,7.523524E-02,2.122000E-04
-7.8090E-07,7.523524E-02,2.122000E-04
-7.8050E-07,7.523524E-02,2.122000E-04
-7.8010E-07,7.523524E-02,2.122000E-04
-7.7970E-07,7.523524E-02,2.122000E-04
-7.7930E-07,7.523524E-02,2.122000E-04
-7.7890E-07,7.523524E-02,2.122000E-04
-7.7850E-07,7.523524E-02,2.122000E-04
-7.7810E-07,7.523524E-02,2.122000E-04
-7.7770E-07,7.523524E-02,2.122000E-04
-7.7730E-07,7.523524E-02,2.122000E-04
-7.7690E-07,7.523524E-02,2.122000E-04
-7.7650E-07,0.000000E+00,2.122000E-04
-7.7610E-07,0.000000E+00,2.122000E-04
-7.7570E-07,7.523524E-02,2.122000E-04
-7.7530E-07,7.523524E-02,2.122000E-04
-7.7490E-07,7.523524E-02,2.122000E-04
-7.7450E-07,7.523524E-02,2.122000E-04
-7.7410E-07,0.000000E+00,2.122000E-04
-7.7370E-07,0.000000E+00,2.122000E-04
-7.7330E-07,0.000000E+00,2.122000E-04
-7.7290E-07,7.523524E-02,2.122000E-04
-7.7250E-07,7.523524E-02,2.122000E-04
-7.7210E-07,7.523524E-02,2.122000E-04
-7.7170E-07,7.523524E-02,2.122000E-04
-7.7130E-07,7.523524E-02,2.122000E-04
-7.7090E-07,7.523524E-02,2.122000E-04
-7.7050E-07,7.523524E-02,2.122000E-04
-7.7010E-07,7.523524E-02,2.122000E-04
-7.6970E-07,7.523524E-02,2.122000E-04
-7.6930E-07,7.523524E-02,2.122000E-04
-7.6890E-07,7.523524E-02,2.122000E-04
-7.6850E-07,7.523524E-02,2.122000E-04
-7.6810E-07,7.523524E-02,2.122000E-04
-7.6770E-07,7.523524E-02,2.122000E-04
-7.6730E-07,7.523524E-02,2.122000E-04
-7.6690E-07,7.523524E-02,2.122000E-04
-7.6650E-07,7.523524E-02,2.122000E-04
-7.6610E-07,7.523524E-02,0.000000E+00
-7.6570E-07,7.523524E-02,2.122000E-04
-7.6530E-07,7.523524E-02,2.122000E-04
-7.6490E-07,7.523524E-02,2.122000E-04
-7.6450E-07,7.523524E-02,2.122000E-04
-7.6410E-07,7.523524E-02,2.122000E-04
-7.6370E-07,7.523524E-02,2.122000E-04
-7.6330E-07,0.000000E+00,2.122000E-04
-7.6290E-07,7.523524E-02,2.122000E-04
-7.6250E-07,7.523524E-02,2.122000E-04
-7.6210E-07,7.523524E-02,2.122000E-04
-7.6170E-07,7.523524E-02,2.122000E-04
-7.6130E-07,7.523524E-02,0.000000E+00
-7.6090E-07,7.523524E-02,2.122000E-04
-7.6050E-07,7.523524E-02,2.122000E-04
-7.6010E-07,7.523524E-02,2.122000E-04
-7.5970E-07,7.523524E-02,0.000000E+00
-7.5930E-07,0.000000E+00,2.122000E-04
-7.5890E-07,0.000000E+00,2.122000E-04
-7.5850E-07,7.523524E-02,2.122000E-04
-7.5810E-07,7.523524E-02,2.122000E-04
-7.5770E-07,7.523524E-02,2.122000E-04
-7.5730E-07,0.000000E+00,2.122000E-04
-7.5690E-07,7.523524E-02,2.122000E-04
-7.5650E-07,7.523524E-02,2.122000E-04
-7.5610E-07,7.523524E-02,2.122000E-04
-7.5570E-07,7.523524E-02,2.122000E-04
-7.5530E-07,7.523524E-02,2.122000E-04
-7.5490E-07,7.523524E-02,2.122000E-04
-7.5450E-07,0.000000E+00,2.122000E-04
-7.5410E-07,7.523524E-02,2.122000E-04
-7.5370E-07,7.523524E-02,2.122000E-04
-7.5330E-07,7.523524E-02,2.122000E-04
-7.5290E-07,7.523524E-02,2.122000E-04
-7.5250E-07,7.523524E-02,2.122000E-04
-7.5210E-07,7.523524E-02,2.122000E-04
-7.5170E-07,7.523524E-02,2.122000E-04
-7.5130E-07,7.523524E-02,2.122000E-04
-7.5090E-07,7.523524E-02,0.000000E+00
-7.5050E-07,0.000000E+00,2.122000E-04
-7.5010E-07,7.523524E-02,2.122000E-04
-7.4970E-07,7.523524E-02,2.122000E-04
-7.4930E-07,7.523524E-02,2.122000E-04
-7.4890E-07,7.523524E-02,2.122000E-04
-7.4850E-07,0.000000E+00,2.122000E-04
-7.4810E-07,7.523524E-02,2.122000E-04
-7.4770E-07,7.523524E-02,2.122000E-04
-7.4730E-07,7.523524E-02,2.122000E-04
-7.4690E-07,7.523524E-02,2.122000E-04
-7.4650E-07,0.000000E+00,2.122000E-04
-7.4610E-07,0.000000E+00,2.122000E-04
-7.4570E-07,0.000000E+00,2.122000E-04
-7.4530E-07,7.523524E-02,2.122000E-04
-7.4490E-07,7.523524E-02,2.122000E-04
-7.4450E-07,7.523524E-02,2.122000E-04
-7.4410E-07,7.523524E-02,0.000000E+00
-7.4370E-07,7.523524E-02,2.122000E-04
-7.4330E-07,7.523524E-02,2.122000E-04
-7.4290E-07,7.523524E-02,2.122000E-04
-7.4250E-07,7.523524E-02,2.122000E-04
-7.4210E-07,7.523524E-02,2.122000E-04
-7.4170E-07,7.523524E-02,2.122000E-04
-7.4130E-07,7.523524E-02,2.122000E-04
-7.4090E-07,7.523524E-02,0.000000E+00
-7.4050E-07,7.523524E-02,2.122000E-04
-7.4010E-07,0.000000E+00,2.122000E-04
-7.3970E-07,0.000000E+00,2.122000E-04
-7.3930E-07,0.000000E+00,2.122000E-04
-7.3890E-07,7.523524E-02,2.122000E-04
-7.3850E-07,7.523524E-02,0.000000E+00
-7.3810E-07,7.523524E-02,0.000000E+00
-7.3770E-07,7.523524E-02,2.122000E-04
-7.3730E-07,0.000000E+00,2.122000E-04
-7.3690E-07,0.000000E+00,2.122000E-04
-7.3650E-07,7.523524E-02,2.122000E-04
-7.3610E-07,7.523524E-02,2.122000E-04
-7.3570E-07,7.523524E-02,2.122000E-04
-7.3530E-07,0.000000E+00,0.000000E+00
-7.3490E-07,0.000000E+00,2.122000E-04
-7.3450E-07,0.000000E+00,2.122000E-04
-7.3410E-07,7.523524E-02,2.122000E-04
-7.3370E-07,0.000000E+00,2.122000E-04
-7.3330E-07,7.523524E-02,2.122000E-04
-7.3290E-07,7.523524E-02,2.122000E-04
-7.3250E-07,7.523524E-02,2.122000E-04
-7.3210E-07,7.523524E-02,2.122000E-04
-7.3170E-07,0.000000E+00,2.122000E-04
-7.3130E-07,7.523524E-02,2.122000E-04
-7.3090E-07,7.523524E-02,2.122000E-04
-7.3050E-07,0.000000E+00,2.122000E-04
-7.3010E-07,0.000000E+00,2.122000E-04
-7.2970E-07,0.000000E+00,2.122000E-04
-7.2930E-07,7.523524E-02,2.122000E-04
-7.2890E-07,7.523524E-02,2.122000E-04
-7.2850E-07,7.523524E-02,2.122000E-04
-7.2810E-07,0.000000E+00,2.122000E-04
-7.2770E-07,7.523524E-02,2.122000E-04
-7.2730E-07,7.523524E-02,2.122000E-04
-7.2690E-07,7.523524E-02,2.122000E-04
-7.2650E-07,0.000000E+00,2.122000E-04
-7.2610E-07,7.523524E-02,2.122000E-04
-7.2570E-07,0.000000E+00,2.122000E-04
-7.2530E-07,0.000000E+00,2.122000E-04
-7.2490E-07,7.523524E-02,2.122000E-04
-7.2450E-07,7.523524E-02,2.122000E-04
-7.2410E-07,7.523524E-02,2.122000E-04
-7.2370E-07,7.523524E-02,0.000000E+00
-7.2330E-07,7.523524E-02,2.122000E-04
-7.2290E-07,7.523524E-02,2.122000E-04
-7.2250E-07,7.523524E-02,2.122000E-04
-7.2210E-07,7.523524E-02,2.122000E-04
-7.2170E-07,7.523524E-02,2.122000E-04
-7.2130E-07,7.523524E-02,2.122000E-04
-7.2090E-07,7.523524E-02,2.122000E-04
-7.2050E-07,7.523524E-02,2.122000E-04
-7.2010E-07,7.523524E-02,2.122000E-04
-7.1970E-07,7.523524E-02,2.122000E-04
-7.1930E-07,0.000000E+00,2.122000E-04
-7.1890E-07,7.523524E-02,2.122000E-04
-7.1850E-07,7.523524E-02,2.122000E-04
-7.1810E-07,7.523524E-02,0.000000E+00
-7.1770E-07,7.523524E-02,2.122000E-04
-7.1730E-07,7.523524E-02,2.122000E-04
-7.1690E-07,7.523524E-02,2.122000E-04
-7.1650E-07,7.523524E-02,2.122000E-04
-7.1610E-07,7.523524E-02,2.122000E-04
-7.1570E-07,7.523524E-02,2.122000E-04
-7.1530E-07,7.523524E-02,2.122000E-04
-7.1490E-07,7.523524E-02,2.122000E-04
